Year,Average_SCFI,Minimum,Maximum,Monthly_Volatility,Worst_Drawdown,Observations,Annual_Average_YoY
2020,1287.9766666666667,818.0,2783.0,0.16650166664746896,-0.2001720901126408,12,
2021,3791.9166666666665,2583.0,5046.0,0.08684238167021878,-0.0971688220901783,12,1.9440880140168169
2022,3361.2625000000003,1107.55,5109.6,0.12612808319327162,-0.7832413496164083,12,-0.11357163263960612
2023,1002.035,886.85,1230.22,0.10536385265514452,-0.826434554563958,12,-0.7018873116872009
2024,2514.9983333333334,1730.0,3650.37,0.3233630390599267,-0.6614216377015814,12,1.509890705747138
2025,1637.5,1250.0,2100.0,0.18836239022017437,-0.7553624549866917,12,-0.3489061291624448
2026,2136.87,1284.0,3184.83,0.18736864186276445,-0.7487083137623298,7,0.3049587786259542
